size,mflop
31,4334.93
32,4788.28
96,4700.92
97,5409.84
127,5458.8
128,3620.41
129,5371.42
191,5288.43
192,3961.78
229,5192.32
255,5016.04
256,2953.04
257,4840.21
319,4550.93
320,3667.75
321,4657.03
417,3974.97
479,4334.8
480,4059.65
511,3997.66
512,1503.56
639,4412.08
640,3300.26
767,4195.51
768,2730.97
769,4098.59
1023,3961.11
1024,1524.04
1025,3913.19
1525,4329.48
1526,4325.99
1527,4351.65
