size,mflop
31,708.233
32,747.211
96,1707.62
97,1745.98
127,1885.26
128,1757.43
129,2032.89
191,2306.09
192,1956.01
229,2572.63
255,2648.27
256,1223.73
257,2531.21
319,2786.33
320,2410.13
321,2780.23
417,2992.54
479,2890.8
480,2660.72
511,2832.89
512,1039.73
639,2807.92
640,1574.55
767,2712.74
768,1347.95
769,2693.7
1023,2494.87
1024,1084.29
1025,2318.15
1525,1126.72
1526,1038.52
1527,937.497
