size,mflop
31,6151.5
32,8025.9
96,9572.65
97,8623.39
127,8921.79
128,9743.33
129,8731.76
191,8455.99
192,9366.18
229,8141.68
255,7930.46
256,8504.99
257,8066.63
319,7386.2
320,8090.36
321,7700.63
417,7510.25
479,6556.39
480,8258.6
511,7801.86
512,8116.95
639,7669.47
640,8376.68
767,7940.51
768,8298.29
769,7894.96
1023,7152.62
1024,7245.39
1025,7462.06
1525,4470.32
1526,4496.28
1527,4558.46
