size,mflop
31,3711.06
32,3625.01
96,3162.46
97,3138.02
127,2825.42
128,2568.35
129,2753.76
191,2360.48
192,2354.79
229,2378.44
255,2368.52
256,1240.45
257,2434.15
319,2411.74
320,2332.85
321,2124.9
417,2071.08
479,2228.33
480,2355.85
511,2329.99
512,1407.44
639,2178.39
640,1638.52
767,2242.66
768,1289.79
769,2179.13
1023,2234.64
1024,1278.01
1025,2110.65
1525,1209.14
1526,1222.56
1527,1138.67
