size,mflop
31,7658.43
32,10088.5
96,9889.56
97,9326.63
127,9452.04
128,10095
129,8414.68
191,9024.89
192,10431
229,9246.52
255,9101.97
256,9776.95
257,8815.71
319,8034.1
320,10019
321,9293.91
417,8792.56
479,8257.15
480,8888.29
511,6979.87
512,7179.02
639,8795.17
640,9637.07
767,8821.61
768,8880.38
769,8798.64
1023,6294.84
1024,6761.42
1025,5920.17
1525,8871.29
1526,9586.03
1527,8630.79
