size,mflop
31,4050.6
32,4143.08
96,4207.67
97,4164.61
127,4167.32
128,3991.37
129,4160.82
191,4267.08
192,4177.3
229,4077.58
255,4162.56
256,3289.53
257,4138.57
319,4261.26
320,4110.58
321,4222.82
417,4206.79
479,4260
480,4159.06
511,3725.68
512,2050.09
639,3582.71
640,3323.7
767,3337.29
768,2696.74
769,3806.87
1023,3573.72
1024,2045.6
1025,3557.71
1525,3908.76
1526,3969.07
1527,3878.21
